checklist_id,term,baseline_rating,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,relocation_priority,conceptual_home
PQ-130,identifier,questionable,lexical-elements.rst,488,fls_xsdmun5uqy4c,Identifiers,1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,491,expressions.rst,Struct Expressions,none,true
PQ-131,immutable borrow,questionable,ownership-and-deconstruction.rst,201,fls_hyl4bdjbuzbw,Borrowing,1c2c2b73313fb48987ed02ac044ff68cec69968e,ownership-and-deconstruction.rst,197,ownership-and-deconstruction.rst,Borrowing,low_forward_ref,true
PQ-132,immutable reference,questionable,ownership-and-deconstruction.rst,121,fls_wcf5mxrzbujn,References,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,5258,expressions.rst,Capturing,low_forward_ref,true
PQ-133,implementation body,questionable,implementations.rst,52,fls_Mcpdzzcw43M7,Implementations,1c2c2b73313fb48987ed02ac044ff68cec69968e,entities-and-resolution.rst,540,entities-and-resolution.rst,Generic Parameter Scope,none,true
PQ-134,implicit borrow,questionable,ownership-and-deconstruction.rst,172,fls_zepwytjwy049,Borrowing,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,507,expressions.rst,Place Expressions,low_forward_ref,true
PQ-135,index expression,questionable,expressions.rst,3070,fls_42ijvuqqqlvh,Indexing Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,458,expressions.rst,Place Expressions,low_forward_ref,true
PQ-136,indexed operand,questionable,expressions.rst,3074,fls_pc0c22asgzvw,Indexing Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,510,expressions.rst,Place Expressions,low_forward_ref,true
PQ-137,inherent implementation,questionable,implementations.rst,57,fls_v0n0bna40dqr,Implementations,1c2c2b73313fb48987ed02ac044ff68cec69968e,entities-and-resolution.rst,1435,entities-and-resolution.rst,Path Expression Resolution,none,true
PQ-138,integer type,questionable,types-and-traits.rst,423,fls_tHog6qQQp5Bo,Integer Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,947,expressions.rst,Type Cast Expressions,low_forward_ref,true
PQ-139,irrefutable pattern,questionable,patterns.rst,102,fls_9fjspnefoyvz,Refutability,1c2c2b73313fb48987ed02ac044ff68cec69968e,statements.rst,86,statements.rst,Let Statements,low_forward_ref,true
PQ-140,iteration expression,questionable,expressions.rst,4126,fls_13hmhzqz82v6,While Loops,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,4122,expressions.rst,While Loops,low_forward_ref,true
PQ-141,keyword,questionable,lexical-elements.rst,1464,fls_dti0uu7rz81w,Keywords,1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,478,entities-and-resolution.rst,Paths,low_forward_ref,true
PQ-142,label,questionable,expressions.rst,3943,fls_1MTa81vtePN8,Loop Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,879,expressions.rst,Named Blocks,medium,false
PQ-143,left operand,questionable,expressions.rst,97,fls_1r29rtnjlkql,Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,105,expressions.rst,Comparison Expressions,none,true
PQ-144,local trait,questionable,types-and-traits.rst,3048,fls_AdbbUZZgMEsQ,Traits,1c2c2b73313fb48987ed02ac044ff68cec69968e,implementations.rst,152,implementations.rst,Implementation Coherence,none,true
PQ-145,local type,questionable,types-and-traits.rst,60,fls_0yaYKnFrJkhG,Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,implementations.rst,159,implementations.rst,Implementation Coherence,none,true
PQ-146,macro,questionable,macros.rst,14,fls_j1jc83erljo0,Macros,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,15,inline-assembly.rst,"Macros: asm, global_asm, and naked_asm",none,true
PQ-147,main function signature,questionable,program-structure-and-compilation.rst,266,fls_sbGnkm8Ephiu,Program Entry Point,1c2c2b73313fb48987ed02ac044ff68cec69968e,program-structure-and-compilation.rst,134,program-structure-and-compilation.rst,Crates,medium,false
PQ-148,module,questionable,program-structure-and-compilation.rst,73,fls_odd1hj3y1mgu,Modules,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,735,entities-and-resolution.rst,Visibility,low_forward_ref,true
PQ-149,mutable borrow,questionable,ownership-and-deconstruction.rst,209,fls_pu19i4sj6yg0,Borrowing,1c2c2b73313fb48987ed02ac044ff68cec69968e,values.rst,332,values.rst,Constant Promotion,low_forward_ref,true
PQ-150,mutable raw pointer type,questionable,types-and-traits.rst,1273,fls_bYWfGDAQcWfA,Raw Pointer Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,447,expressions.rst,Place Expressions,low_forward_ref,true
PQ-151,mutable reference type,questionable,types-and-traits.rst,1328,fls_GUZuiST7ucib,Reference Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,451,expressions.rst,Place Expressions,low_forward_ref,true
PQ-152,opt-out trait bound,questionable,types-and-traits.rst,3255,fls_AzuZmR9DXSQh,Trait and Lifetime Bounds,1c2c2b73313fb48987ed02ac044ff68cec69968e,generics.rst,191,generics.rst,Generic Parameters,none,true
PQ-153,outer attribute,questionable,attributes.rst,55,fls_8o6vmzbw1b1j,Attributes,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,451,attributes.rst,Attribute ``no_implicit_prelude``,low_forward_ref,true
PQ-154,panic,questionable,exceptions-and-errors.rst,46,fls_a554v4n0khye,Panic,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1566,expressions.rst,Arithmetic Expressions,low_forward_ref,true
PQ-155,passing convention,questionable,ownership-and-deconstruction.rst,274,fls_fvwx2ufeyzcs,Passing Conventions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2442,expressions.rst,Basic Assignment,low_forward_ref,true
PQ-156,path segment,questionable,entities-and-resolution.rst,305,fls_y1z7kougmahd,Paths,1c2c2b73313fb48987ed02ac044ff68cec69968e,entities-and-resolution.rst,182,entities-and-resolution.rst,Path Resolution,low_forward_ref,true
PQ-157,pattern,questionable,patterns.rst,41,fls_imegtsi224ts,Patterns,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,865,patterns.rst,Pattern Matching,low_forward_ref,true
PQ-158,proc-macro crate,questionable,program-structure-and-compilation.rst,146,fls_Mf62VqAhoZ3c,Crates,1c2c2b73313fb48987ed02ac044ff68cec69968e,attributes.rst,1854,attributes.rst,Attribute ``proc_macro``,low_forward_ref,true
PQ-159,qualified type,questionable,entities-and-resolution.rst,383,fls_ybv0tdu7dnj5,Paths,1c2c2b73313fb48987ed02ac044ff68cec69968e,entities-and-resolution.rst,364,entities-and-resolution.rst,Paths,medium,false
PQ-160,raw pointer,questionable,types-and-traits.rst,1270,fls_7c5w2c2n2nhb,Raw Pointer Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1062,expressions.rst,Raw Borrow Expression,low_forward_ref,true
PQ-161,receiver operand,questionable,expressions.rst,3611,fls_jx3ryre0xs88,Method Call Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3635,entities-and-resolution.rst,Method Resolution,none,true
PQ-162,record struct,questionable,types-and-traits.rst,934,fls_r3g6b8q1bphw,Struct Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3323,expressions.rst,Struct Expressions,low_forward_ref,true
PQ-163,reference,questionable,ownership-and-deconstruction.rst,93,fls_7x9pi2o7pee7,References,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,993,expressions.rst,Borrow Expression,low_forward_ref,true
PQ-164,reference identifier pattern,questionable,patterns.rst,169,fls_joIQdDn44oIT,Identifier Patterns,1c2c2b73313fb48987ed02ac044ff68cec69968e,ownership-and-deconstruction.rst,618,ownership-and-deconstruction.rst,Drop Scope Extension,none,true
PQ-165,refutable type,questionable,patterns.rst,120,fls_m5a5si8b9s7x,Refutability,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,117,patterns.rst,Refutability,medium,false
PQ-166,right operand,questionable,expressions.rst,101,fls_qxdpyf4u3hbz,Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,106,expressions.rst,Arithmetic Expressions,none,true
PQ-167,scalar type,questionable,types-and-traits.rst,171,fls_5y8tfx2kgj0c,Scalar Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,5315,expressions.rst,Arithmetic Overflow,low_forward_ref,true
PQ-168,scope,questionable,entities-and-resolution.rst,475,fls_5x5xykocwyiy,Scopes,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1422,entities-and-resolution.rst,Use Imports,low_forward_ref,true
PQ-169,separator,questionable,lexical-elements.rst,189,fls_a6t53o8h1vdk,"Lexical Elements, Separators, and Punctuation",1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,190,macros.rst,Token Matching,medium,false
PQ-170,signed integer type,questionable,types-and-traits.rst,427,fls_3g2cxq6r7nkp,Integer Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1854,expressions.rst,Bit Expressions,low_forward_ref,true
PQ-171,simple path,questionable,entities-and-resolution.rst,330,fls_n77icl6idazp,Paths,1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,519,entities-and-resolution.rst,Visibility,low_forward_ref,true
PQ-172,simple path prefix,questionable,entities-and-resolution.rst,1038,fls_sxo1jb25pl8a,Use Imports,1c2c2b73313fb48987ed02ac044ff68cec69968e,entities-and-resolution.rst,342,entities-and-resolution.rst,Paths,low_forward_ref,true
PQ-173,static,questionable,values.rst,168,fls_ibrmiwfypldh,Statics,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,328,expressions.rst,Constant Expressions,low_forward_ref,true
PQ-174,static initializer,questionable,values.rst,201,fls_t17h5h6a6v4c,Statics,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,328,expressions.rst,Constant Expressions,low_forward_ref,true
PQ-175,struct expression,questionable,expressions.rst,3240,fls_ij8rebvupb85,Struct Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,520,expressions.rst,Place Expressions,low_forward_ref,true
PQ-176,struct pattern,questionable,patterns.rst,750,fls_vjdkpr3zml51,Struct Patterns,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2481,expressions.rst,Destructuring Assignment,low_forward_ref,true
PQ-177,struct value,questionable,types-and-traits.rst,974,fls_0r4qz8k5n1mp,Struct Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3241,expressions.rst,Struct Expressions,low_forward_ref,true
PQ-178,structurally equal,questionable,types-and-traits.rst,2466,fls_uVTpA7gbLCYX,Structural Equality,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,383,patterns.rst,Path Patterns,medium,false
PQ-179,subpattern,questionable,patterns.rst,55,fls_6xx34zr069bj,Patterns,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,705,patterns.rst,Tuple Struct Patterns,none,true
PQ-180,subtype,questionable,types-and-traits.rst,3467,fls_1q7k3n9m5v2b,Subtyping and Variance,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2297,types-and-traits.rst,Type Coercion,low_forward_ref,true
PQ-181,supertrait,questionable,types-and-traits.rst,3054,fls_CYtxPjK3zq2T,Traits,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2351,types-and-traits.rst,Type Coercion,low_forward_ref,true
PQ-182,trait body,questionable,types-and-traits.rst,3038,fls_PiAR1B26SoZV,Traits,1c2c2b73313fb48987ed02ac044ff68cec69968e,entities-and-resolution.rst,548,entities-and-resolution.rst,Generic Parameter Scope,none,true
PQ-183,trait implementation,questionable,implementations.rst,65,fls_ry3an0mwb63g,Implementations,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1446,expressions.rst,Compound Assignment Expressions,low_forward_ref,true
PQ-184,tuple,questionable,types-and-traits.rst,693,fls_m8n4t5c1k0pz,Tuple Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3166,expressions.rst,Call Expressions,low_forward_ref,true
PQ-185,tuple enum variant,questionable,types-and-traits.rst,793,fls_v1q7n3t5c9xz,Enum Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,651,expressions.rst,Call Expressions,low_forward_ref,true
PQ-186,tuple field,questionable,types-and-traits.rst,696,fls_v7c3y1q9m2bx,Tuple Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3170,patterns.rst,Tuple Patterns,low_forward_ref,true
PQ-187,tuple struct,questionable,types-and-traits.rst,946,fls_q1m7v9b3k5ha,Struct Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,652,expressions.rst,Call Expressions,low_forward_ref,true
PQ-188,tuple struct call expression,questionable,expressions.rst,3475,fls_QpBu34U6hXn9,Call Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2461,expressions.rst,Destructuring Assignment,low_forward_ref,true
PQ-189,tuple struct type,questionable,types-and-traits.rst,949,fls_g6t2n8c5p4xy,Struct Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3481,expressions.rst,Call Expressions,low_forward_ref,true
PQ-190,type,questionable,types-and-traits.rst,50,fls_4rhjpdu4zfqj,Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,614,types-and-traits.rst,Type Coercion,low_forward_ref,true
PQ-191,type ascription,questionable,types-and-traits.rst,57,fls_x4p7m2c9v6qn,Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,statements.rst,97,statements.rst,Let Statements,low_forward_ref,true
PQ-192,type path,questionable,entities-and-resolution.rst,370,fls_h2zikgmazoxx,Paths,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,872,macros.rst,Token Matching,low_forward_ref,true
PQ-193,underscore expression,questionable,expressions.rst,2870,fls_pydmv629vfuu,Underscore Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,844,inline-assembly.rst,Register Arguments,low_forward_ref,true
PQ-194,unhygienic,questionable,macros.rst,1106,fls_94TOYfoplm4f,Hygiene,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,1094,macros.rst,Hygiene,medium,false
PQ-195,unicode,questionable,lexical-elements.rst,29,fls_m2v7k1p9t4qa,Character Set,1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,25,lexical-elements.rst,Character Set,medium,false
PQ-196,union value,questionable,types-and-traits.rst,1035,fls_q7v2m9t4k1pa,Union Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3241,expressions.rst,Struct Expressions,low_forward_ref,true
PQ-197,unit struct,questionable,types-and-traits.rst,958,fls_4q6m9t1w7zpa,Struct Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,652,expressions.rst,Path Expressions,low_forward_ref,true
PQ-198,unsafe external block,questionable,ffi.rst,194,fls_8ltVLtAfvy0m,External Blocks,1c2c2b73313fb48987ed02ac044ff68cec69968e,functions.rst,207,ffi.rst,External Functions,low_forward_ref,true
PQ-199,unsafe function item type,questionable,types-and-traits.rst,1149,fls_liwnzwu1el1i,Function Item Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3493,expressions.rst,Call Expressions,low_forward_ref,true
PQ-200,unsafe trait,questionable,types-and-traits.rst,3031,fls_q9m2v7k1t4pa,Traits,1c2c2b73313fb48987ed02ac044ff68cec69968e,implementations.rst,81,implementations.rst,Implementations,none,true
PQ-201,unsafety,questionable,unsafety.rst,17,fls_8kqo952gjhaf,Unsafety,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,920,expressions.rst,Unsafe Blocks,low_forward_ref,true
PQ-202,value operand,questionable,expressions.rst,2405,fls_uinh05sslxeo,Assignment Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2395,expressions.rst,Destructuring Assignment,low_forward_ref,true
